origin_year,method,year,projected_state
2005,sdc_2024,2005,646089.0
2005,sdc_2024,2006,642421.0
2005,sdc_2024,2007,638754.0
2005,sdc_2024,2008,635086.0
2005,sdc_2024,2009,631419.0
2005,sdc_2024,2010,627751.0
2005,sdc_2024,2011,625361.0
2005,sdc_2024,2012,622971.0
2005,sdc_2024,2013,620580.0
2005,sdc_2024,2014,618190.0
2005,sdc_2024,2015,615800.0
2005,sdc_2024,2016,613715.0
2005,sdc_2024,2017,611630.0
2005,sdc_2024,2018,609544.0
2005,sdc_2024,2019,607459.0
2005,sdc_2024,2020,605374.0
2005,sdc_2024,2021,602319.0
2005,sdc_2024,2022,599265.0
2005,sdc_2024,2023,596211.0
2005,sdc_2024,2024,593157.0
2005,sdc_2024,2025,590103.0
2005,sdc_2024,2026,586054.0
2005,sdc_2024,2027,582006.0
2005,sdc_2024,2028,577958.0
2005,sdc_2024,2029,573910.0
2005,sdc_2024,2030,569861.0
2005,sdc_2024,2031,564830.0
2005,sdc_2024,2032,559799.0
2005,sdc_2024,2033,554769.0
2005,sdc_2024,2034,549738.0
2005,sdc_2024,2035,544707.0
2005,sdc_2024,2036,539277.0
2005,sdc_2024,2037,533847.0
2005,sdc_2024,2038,528417.0
2005,sdc_2024,2039,522987.0
2005,sdc_2024,2040,517557.0
2005,sdc_2024,2041,512222.0
2005,sdc_2024,2042,506888.0
2005,sdc_2024,2043,501553.0
2005,sdc_2024,2044,496218.0
2005,sdc_2024,2045,490883.0
2005,sdc_2024,2046,486040.0
2005,sdc_2024,2047,481197.0
2005,sdc_2024,2048,476353.0
2005,sdc_2024,2049,471510.0
2005,sdc_2024,2050,466666.0
2005,sdc_2024,2051,462180.0
2005,sdc_2024,2052,457693.0
2005,sdc_2024,2053,453207.0
2005,sdc_2024,2054,448720.0
2005,sdc_2024,2055,444234.0
2005,m2026,2005,646089.0
2005,m2026,2006,640897.0
2005,m2026,2007,635906.0
2005,m2026,2008,631135.0
2005,m2026,2009,626576.0
2005,m2026,2010,622206.0
2005,m2026,2011,617995.0
2005,m2026,2012,613909.0
2005,m2026,2013,609915.0
2005,m2026,2014,605979.0
2005,m2026,2015,602073.0
2005,m2026,2016,598168.0
2005,m2026,2017,594244.0
2005,m2026,2018,590281.0
2005,m2026,2019,586264.0
2005,m2026,2020,582181.0
2005,m2026,2021,578023.0
2005,m2026,2022,573785.0
2005,m2026,2023,569463.0
2005,m2026,2024,565059.0
2005,m2026,2025,560572.0
2005,m2026,2026,556008.0
2005,m2026,2027,551369.0
2005,m2026,2028,546664.0
2005,m2026,2029,541899.0
2005,m2026,2030,537082.0
2005,m2026,2031,532221.0
2005,m2026,2032,527327.0
2005,m2026,2033,522408.0
2005,m2026,2034,517474.0
2005,m2026,2035,512533.0
2005,m2026,2036,507596.0
2005,m2026,2037,502672.0
2005,m2026,2038,497770.0
2005,m2026,2039,492897.0
2005,m2026,2040,488064.0
2005,m2026,2041,483279.0
2005,m2026,2042,478549.0
2005,m2026,2043,473882.0
2005,m2026,2044,469287.0
2005,m2026,2045,464771.0
2005,m2026,2046,460342.0
2005,m2026,2047,456006.0
2005,m2026,2048,451772.0
2005,m2026,2049,447648.0
2005,m2026,2050,443640.0
2005,m2026,2051,439757.0
2005,m2026,2052,436006.0
2005,m2026,2053,432396.0
2005,m2026,2054,428934.0
2005,m2026,2055,425630.0
2010,sdc_2024,2010,672591.0
2010,sdc_2024,2011,671924.0
2010,sdc_2024,2012,671258.0
2010,sdc_2024,2013,670591.0
2010,sdc_2024,2014,669924.0
2010,sdc_2024,2015,669258.0
2010,sdc_2024,2016,669419.0
2010,sdc_2024,2017,669580.0
2010,sdc_2024,2018,669742.0
2010,sdc_2024,2019,669903.0
2010,sdc_2024,2020,670064.0
2010,sdc_2024,2021,669341.0
2010,sdc_2024,2022,668617.0
2010,sdc_2024,2023,667893.0
2010,sdc_2024,2024,667170.0
2010,sdc_2024,2025,666446.0
2010,sdc_2024,2026,664119.0
2010,sdc_2024,2027,661792.0
2010,sdc_2024,2028,659464.0
2010,sdc_2024,2029,657137.0
2010,sdc_2024,2030,654810.0
2010,sdc_2024,2031,651543.0
2010,sdc_2024,2032,648276.0
2010,sdc_2024,2033,645010.0
2010,sdc_2024,2034,641743.0
2010,sdc_2024,2035,638477.0
2010,sdc_2024,2036,634682.0
2010,sdc_2024,2037,630887.0
2010,sdc_2024,2038,627092.0
2010,sdc_2024,2039,623297.0
2010,sdc_2024,2040,619503.0
2010,sdc_2024,2041,615603.0
2010,sdc_2024,2042,611703.0
2010,sdc_2024,2043,607802.0
2010,sdc_2024,2044,603902.0
2010,sdc_2024,2045,600002.0
2010,sdc_2024,2046,596341.0
2010,sdc_2024,2047,592681.0
2010,sdc_2024,2048,589020.0
2010,sdc_2024,2049,585359.0
2010,sdc_2024,2050,581698.0
2010,sdc_2024,2051,578206.0
2010,sdc_2024,2052,574714.0
2010,sdc_2024,2053,571222.0
2010,sdc_2024,2054,567730.0
2010,sdc_2024,2055,564238.0
2010,sdc_2024,2056,560506.0
2010,sdc_2024,2057,556773.0
2010,sdc_2024,2058,553040.0
2010,sdc_2024,2059,549308.0
2010,sdc_2024,2060,545575.0
2010,m2026,2010,672591.0
2010,m2026,2011,670810.0
2010,m2026,2012,669320.0
2010,m2026,2013,668058.0
2010,m2026,2014,666958.0
2010,m2026,2015,665952.0
2010,m2026,2016,663968.0
2010,m2026,2017,661976.0
2010,m2026,2018,659929.0
2010,m2026,2019,657790.0
2010,m2026,2020,655530.0
2010,m2026,2021,653128.0
2010,m2026,2022,650570.0
2010,m2026,2023,647847.0
2010,m2026,2024,644956.0
2010,m2026,2025,641897.0
2010,m2026,2026,638674.0
2010,m2026,2027,635294.0
2010,m2026,2028,631764.0
2010,m2026,2029,628094.0
2010,m2026,2030,624295.0
2010,m2026,2031,620378.0
2010,m2026,2032,616354.0
2010,m2026,2033,612233.0
2010,m2026,2034,608028.0
2010,m2026,2035,603748.0
2010,m2026,2036,599402.0
2010,m2026,2037,595000.0
2010,m2026,2038,590550.0
2010,m2026,2039,586058.0
2010,m2026,2040,581532.0
2010,m2026,2041,576977.0
2010,m2026,2042,572397.0
2010,m2026,2043,567799.0
2010,m2026,2044,563184.0
2010,m2026,2045,558557.0
2010,m2026,2046,553921.0
2010,m2026,2047,549277.0
2010,m2026,2048,544629.0
2010,m2026,2049,539979.0
2010,m2026,2050,535328.0
2010,m2026,2051,530679.0
2010,m2026,2052,526033.0
2010,m2026,2053,521393.0
2010,m2026,2054,516761.0
2010,m2026,2055,512139.0
2010,m2026,2056,507528.0
2010,m2026,2057,502932.0
2010,m2026,2058,498352.0
2010,m2026,2059,493790.0
2010,m2026,2060,489250.0
2015,sdc_2024,2015,737401.0
2015,sdc_2024,2016,739760.0
2015,sdc_2024,2017,742119.0
2015,sdc_2024,2018,744478.0
2015,sdc_2024,2019,746837.0
2015,sdc_2024,2020,749196.0
2015,sdc_2024,2021,752312.0
2015,sdc_2024,2022,755427.0
2015,sdc_2024,2023,758542.0
2015,sdc_2024,2024,761658.0
2015,sdc_2024,2025,764773.0
2015,sdc_2024,2026,766941.0
2015,sdc_2024,2027,769109.0
2015,sdc_2024,2028,771277.0
2015,sdc_2024,2029,773445.0
2015,sdc_2024,2030,775613.0
2015,sdc_2024,2031,776386.0
2015,sdc_2024,2032,777158.0
2015,sdc_2024,2033,777931.0
2015,sdc_2024,2034,778704.0
2015,sdc_2024,2035,779477.0
2015,sdc_2024,2036,779843.0
2015,sdc_2024,2037,780210.0
2015,sdc_2024,2038,780577.0
2015,sdc_2024,2039,780943.0
2015,sdc_2024,2040,781310.0
2015,sdc_2024,2041,781435.0
2015,sdc_2024,2042,781560.0
2015,sdc_2024,2043,781685.0
2015,sdc_2024,2044,781810.0
2015,sdc_2024,2045,781936.0
2015,sdc_2024,2046,781939.0
2015,sdc_2024,2047,781943.0
2015,sdc_2024,2048,781947.0
2015,sdc_2024,2049,781951.0
2015,sdc_2024,2050,781955.0
2015,sdc_2024,2051,781930.0
2015,sdc_2024,2052,781905.0
2015,sdc_2024,2053,781880.0
2015,sdc_2024,2054,781855.0
2015,sdc_2024,2055,781830.0
2015,sdc_2024,2056,781594.0
2015,sdc_2024,2057,781358.0
2015,sdc_2024,2058,781122.0
2015,sdc_2024,2059,780886.0
2015,sdc_2024,2060,780650.0
2015,sdc_2024,2061,779794.0
2015,sdc_2024,2062,778937.0
2015,sdc_2024,2063,778081.0
2015,sdc_2024,2064,777225.0
2015,sdc_2024,2065,776368.0
2015,m2026,2015,737401.0
2015,m2026,2016,741389.0
2015,m2026,2017,745477.0
2015,m2026,2018,749645.0
2015,m2026,2019,753871.0
2015,m2026,2020,758131.0
2015,m2026,2021,761278.0
2015,m2026,2022,764433.0
2015,m2026,2023,767559.0
2015,m2026,2024,770629.0
2015,m2026,2025,773620.0
2015,m2026,2026,776519.0
2015,m2026,2027,779315.0
2015,m2026,2028,782004.0
2015,m2026,2029,784585.0
2015,m2026,2030,787061.0
2015,m2026,2031,788256.0
2015,m2026,2032,789342.0
2015,m2026,2033,790321.0
2015,m2026,2034,791195.0
2015,m2026,2035,791972.0
2015,m2026,2036,791482.0
2015,m2026,2037,790908.0
2015,m2026,2038,790251.0
2015,m2026,2039,789511.0
2015,m2026,2040,788689.0
2015,m2026,2041,787787.0
2015,m2026,2042,786808.0
2015,m2026,2043,785752.0
2015,m2026,2044,784621.0
2015,m2026,2045,783417.0
2015,m2026,2046,782141.0
2015,m2026,2047,780794.0
2015,m2026,2048,779378.0
2015,m2026,2049,777892.0
2015,m2026,2050,776339.0
2015,m2026,2051,774719.0
2015,m2026,2052,773033.0
2015,m2026,2053,771282.0
2015,m2026,2054,769468.0
2015,m2026,2055,767592.0
2015,m2026,2056,765656.0
2015,m2026,2057,763661.0
2015,m2026,2058,761610.0
2015,m2026,2059,759506.0
2015,m2026,2060,757351.0
2015,m2026,2061,755148.0
2015,m2026,2062,752901.0
2015,m2026,2063,750613.0
2015,m2026,2064,748288.0
2015,m2026,2065,745930.0
2020,sdc_2024,2020,779046.0
2020,sdc_2024,2021,782275.0
2020,sdc_2024,2022,785503.0
2020,sdc_2024,2023,788732.0
2020,sdc_2024,2024,791961.0
2020,sdc_2024,2025,795189.0
2020,sdc_2024,2026,798554.0
2020,sdc_2024,2027,801919.0
2020,sdc_2024,2028,805283.0
2020,sdc_2024,2029,808648.0
2020,sdc_2024,2030,812012.0
2020,sdc_2024,2031,814334.0
2020,sdc_2024,2032,816656.0
2020,sdc_2024,2033,818978.0
2020,sdc_2024,2034,821300.0
2020,sdc_2024,2035,823622.0
2020,sdc_2024,2036,825068.0
2020,sdc_2024,2037,826514.0
2020,sdc_2024,2038,827959.0
2020,sdc_2024,2039,829405.0
2020,sdc_2024,2040,830851.0
2020,sdc_2024,2041,832244.0
2020,sdc_2024,2042,833637.0
2020,sdc_2024,2043,835031.0
2020,sdc_2024,2044,836424.0
2020,sdc_2024,2045,837817.0
2020,sdc_2024,2046,839039.0
2020,sdc_2024,2047,840261.0
2020,sdc_2024,2048,841484.0
2020,sdc_2024,2049,842706.0
2020,sdc_2024,2050,843928.0
2020,sdc_2024,2051,845044.0
2020,sdc_2024,2052,846161.0
2020,sdc_2024,2053,847277.0
2020,sdc_2024,2054,848394.0
2020,sdc_2024,2055,849511.0
2020,sdc_2024,2056,850383.0
2020,sdc_2024,2057,851255.0
2020,sdc_2024,2058,852128.0
2020,sdc_2024,2059,853000.0
2020,sdc_2024,2060,853872.0
2020,sdc_2024,2061,854188.0
2020,sdc_2024,2062,854504.0
2020,sdc_2024,2063,854820.0
2020,sdc_2024,2064,855135.0
2020,sdc_2024,2065,855451.0
2020,sdc_2024,2066,855104.0
2020,sdc_2024,2067,854757.0
2020,sdc_2024,2068,854410.0
2020,sdc_2024,2069,854063.0
2020,sdc_2024,2070,853716.0
2020,m2026,2020,779046.0
2020,m2026,2021,782616.0
2020,m2026,2022,786336.0
2020,m2026,2023,790153.0
2020,m2026,2024,794025.0
2020,m2026,2025,797916.0
2020,m2026,2026,802101.0
2020,m2026,2027,806216.0
2020,m2026,2028,810259.0
2020,m2026,2029,814231.0
2020,m2026,2030,818138.0
2020,m2026,2031,821987.0
2020,m2026,2032,825787.0
2020,m2026,2033,829548.0
2020,m2026,2034,833281.0
2020,m2026,2035,836995.0
2020,m2026,2036,839037.0
2020,m2026,2037,841061.0
2020,m2026,2038,843066.0
2020,m2026,2039,845053.0
2020,m2026,2040,847021.0
2020,m2026,2041,847336.0
2020,m2026,2042,847642.0
2020,m2026,2043,847925.0
2020,m2026,2044,848176.0
2020,m2026,2045,848383.0
2020,m2026,2046,848541.0
2020,m2026,2047,848640.0
2020,m2026,2048,848677.0
2020,m2026,2049,848644.0
2020,m2026,2050,848539.0
2020,m2026,2051,848358.0
2020,m2026,2052,848099.0
2020,m2026,2053,847760.0
2020,m2026,2054,847340.0
2020,m2026,2055,846840.0
2020,m2026,2056,846258.0
2020,m2026,2057,845597.0
2020,m2026,2058,844858.0
2020,m2026,2059,844042.0
2020,m2026,2060,843152.0
2020,m2026,2061,842190.0
2020,m2026,2062,841159.0
2020,m2026,2063,840063.0
2020,m2026,2064,838904.0
2020,m2026,2065,837685.0
2020,m2026,2066,836411.0
2020,m2026,2067,835085.0
2020,m2026,2068,833711.0
2020,m2026,2069,832292.0
2020,m2026,2070,830831.0
